"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Freeman, Freddie",518692,2024,638,15.7,12.2,".278",".466",".365",".367",".377",43.1,9.1,41.8,"100.349133067","94.527301044",20.2,49.4
"Springer III, George",543807,2024,614,18.7,9.8,".244",".402",".298",".322",".325",29.2,9.3,37.4,"99.896868","94.046929394",25.3,49.1
"Naylor, Josh",647304,2024,633,16.6,9.2,".257",".443",".332",".335",".333",30.1,8.4,40.9,"100.815360087","94.680816725",22.4,50.3
"Bell, Josh",605137,2024,603,19.9,8.5,".239",".396",".317",".310",".311",31.4,7.6,40.1,"100.078711292","94.16958744",26.8,48.8
"Alvarez, Yordan",670541,2024,635,15,10.9,".303",".595",".402",".411",".389",35.4,14.5,49.7,"104.097105087","96.703519522",19.9,47.8
"Rodríguez, Julio",677594,2024,613,25.4,6.2,".275",".463",".321",".344",".327",33.2,10.2,48.4,"103.553687536","96.325344116",30.9,54.3
"Ozuna, Marcell",542303,2024,688,24.7,10.8,".286",".572",".395",".402",".368",40.5,15.5,53.4,"103.338991136","96.489686128",31.4,46.8
"Castro, Willi",650489,2024,635,23.6,8,".244",".381",".317",".320",".331",39,7,36.8,"98.851706502","93.501303852",29,51.4
"Adames, Willy",642715,2024,688,25.1,10.8,".243",".461",".342",".339",".324",38.2,12,40.7,"99.769639045","94.108759136",29.5,49.5
"Cronenworth, Jake",630105,2024,656,18,9.3,".259",".420",".315",".335",".341",35.4,7.8,36.7,"99.527561266","93.904133654",17.1,45
"Meyers, Jake",676694,2024,513,22.8,6.8,".235",".382",".285",".304",".303",34.8,6.8,37,"99.317270058","93.726741906",27,49.1
"Pasquantino, Vinnie",686469,2024,554,12.8,7.2,".266",".438",".325",".331",".322",31.9,7.1,46.5,"100.997993151","94.970921142",14.5,47.8
"Paredes, Isaac",670623,2024,641,16.4,11.9,".220",".337",".327",".304",".333",37,4.5,27.1,"95.875582928","91.952619865",17.2,44.7
"Machado, Manny",592518,2024,643,19.3,7,".272",".461",".340",".338",".325",33.8,11,48.8,"103.370494128","96.17209183",24.4,51.6
"McMahon, Ryan",641857,2024,645,28.7,10.7,".243",".414",".315",".325",".329",36.5,10.9,49.7,"102.62988712","96.057260524",30,46.9
"Diaz, Yainer",673237,2024,619,17.3,3.9,".299",".458",".329",".339",".327",35,7.6,47.5,"101.297056214","95.034359505",24,58.8
"Rodgers, Brendan",663898,2024,539,24.5,5.8,".248",".377",".314",".295",".297",33.1,5.6,44.1,"101.153269243","94.773964417",25.9,49.3
"Chourio, Jackson",694192,2024,573,21.1,6.8,".274",".430",".339",".328",".326",33.2,7.8,44.9,"100.832969557","94.831073407",27.1,48.8
"Hernández, Teoscar",606192,2024,652,28.8,8.1,".250",".486",".360",".346",".320",33.8,14.9,46.8,"102.727395423","95.689116559",34,51.2
"Burleson, Alec",676475,2024,595,12.8,5.9,".273",".435",".319",".329",".320",34.3,6.5,41.7,"99.381927173","94.012155751",19.2,55.7
"Doyle, Brenton",686668,2024,603,25.4,7.6,".254",".436",".328",".329",".315",37.4,10.5,41.4,"100.983223096","94.67619269",29.8,51.4
"Seager, Corey",608369,2024,533,18,9.9,".289",".561",".365",".390",".364",38.6,15.2,50.7,"103.274395474","96.157523456",23.4,53
"Vierling, Matt",663837,2024,567,21.3,7.2,".256",".393",".317",".309",".313",34.1,7.5,40.9,"100.235830606","94.344722247",19.5,42.8
"Happ, Ian",664023,2024,657,25.6,12.2,".243",".446",".341",".345",".342",37,11.7,45.2,"101.590666318","95.287992294",27.9,45.9
"Smith, Josh",669701,2024,592,20.4,7.8,".242",".352",".323",".304",".324",33.7,3.7,37.1,"98.306997711","93.25999596",21.8,47.1
